Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;28773;"Ca-A Cancer Journal for Clinicians";journal;"15424863, 00079235";"John Wiley and Sons Inc";No;No;145,004;Q1;223;43;122;2704;40834;81;168,71;62,88;48,21;4;37;United States;Northern America;"John Wiley and Sons Inc";"1950-2025";"Hematology (Q1); Oncology (Q1)";"Medicine"
2;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";"Centers for Disease Control and Prevention (CDC)";Yes;No;41,754;Q1;155;6;15;1652;1308;15;75,11;275,33;75,93;1;5;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2024";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
3;22697;"American Economic Review";journal;"19447981, 00028282";"American Economic Association";No;No;25,102;Q1;380;61;328;4606;4330;326;12,41;75,51;26,26;37;24;United States;Northern America;"American Economic Association";"1973-1975, 1978-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
4;19300156903;"Foundations and Trends in Machine Learning";journal;"19358245, 19358237";"Now Publishers Inc";No;No;22,797;Q1;42;5;12;1326;1613;12;48,33;265,20;25,00;1;0;United States;Northern America;"Now Publishers Inc";"2008-2024";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
5;18434;"Cell";journal;"00928674, 10974172";"Elsevier B.V.";No;No;22,612;Q1;925;537;1361;44743;44520;1123;30,22;83,32;40,02;2;166;United States;Northern America;"Elsevier B.V.";"1974-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology"
6;15847;"New England Journal of Medicine";journal;"00284793, 15334406";"Massachussetts Medical Society";No;No;19,076;Q1;1231;1282;4249;13922;81934;1749;18,37;10,86;38,64;0;426;United States;Northern America;"Massachussetts Medical Society";"1945-2025";"Medicine (miscellaneous) (Q1)";"Medicine"
7;29093;"Cancer Cell";journal;"15356108, 18783686";"Cell Press";No;No;19,027;Q1;416;190;575;11020;14069;381;24,69;58,00;42,93;0;167;United States;Northern America;"Cell Press";"2002-2025";"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
8;6200180159;"World Psychiatry";journal;"17238617";"Wiley-Blackwell";Yes;No;18,419;Q1;153;113;304;4401;4324;62;13,01;38,95;38,87;1;16;United States;Northern America;"Wiley-Blackwell";"2007-2025";"Psychiatry and Mental Health (Q1)";"Medicine"
9;29719;"Reviews of Modern Physics";journal;"00346861, 15390756";"American Physical Society";No;No;18,080;Q1;399;35;105;11283;5222;99;38,49;322,37;21,26;0;2;United States;Northern America;"American Physical Society";"1929-2025";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
10;21100812579;"Nature Energy";journal;"20587546";"Springer Nature";No;No;17,599;Q1;259;243;637;7488;18853;406;27,54;30,81;28,95;15;139;United States;Northern America;"Springer Nature";"2016-2025";"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
11;24404;"Journal of Political Economy";journal;"00223808, 1537534X";"University of Chicago Press";No;No;17,087;Q1;225;85;239;5432;1943;232;6,48;63,91;19,75;47;36;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
12;23340;"Chemical Reviews";journal;"15206890, 00092665";"American Chemical Society";No;No;16,455;Q1;873;227;849;106923;48861;815;53,84;471,03;30,03;1;62;United States;Northern America;"American Chemical Society";"1924-2025";"Chemistry (miscellaneous) (Q1)";"Chemistry"
13;20651;"Annual Review of Immunology";book series;"15453278, 07320582";"Annual Reviews Inc.";No;No;16,428;Q1;337;19;83;3789;2818;82;30,94;199,42;37,68;0;12;United States;Northern America;"Annual Reviews Inc.";"1983-2024";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
